Order_ID;Order_Date;Ship_Date;Ship_Mode;Order_Priority
CA-2012-124891;7/31/12;7/31/12;Same Day;Critical
CA-2012-124891;7/31/12;7/31/12;Same Day;Critical
IN-2013-77878;02/05/2013;02/07/2013;Second Class;Critical
IN-2013-71249;10/17/13;10/18/13;First Class;Medium
ES-2013-1579342;1/28/13;1/30/13;First Class;Medium
SG-2013-4320;11/05/2013;11/06/2013;Same Day;Critical
IN-2013-42360;6/28/13;07/01/2013;Second Class;Critical
IN-2011-81826;11/07/2011;11/09/2011;First Class;Critical
IN-2012-86369;4/14/12;4/18/12;Standard Class;High
CA-2014-135909;10/14/14;10/21/14;Standard Class;Low
CA-2012-116638;1/28/12;1/31/12;Second Class;Critical
CA-2011-102988;04/05/2011;04/09/2011;Second Class;High
ID-2012-28402;4/19/12;4/22/12;First Class;High
SA-2011-1830;12/27/11;12/29/11;Second Class;Critical
MX-2012-130015;11/13/12;11/13/12;Same Day;Critical
IN-2013-73951;06/06/2013;06/08/2013;Second Class;Critical
ES-2014-5099955;7/31/14;08/03/2014;Second Class;Critical
CA-2014-143567;11/03/2014;11/06/2014;Second Class;Critical
ES-2014-1651774;09/08/2014;9/14/14;Standard Class;Low
IN-2014-11763;1/31/14;02/01/2014;First Class;Critical
TZ-2014-8190;12/05/2014;12/07/2014;Second Class;High
PL-2012-7820;08/08/2012;08/10/2012;First Class;Critical
CA-2011-154627;10/29/11;10/31/11;First Class;High
IN-2011-44803;05/02/2011;05/03/2011;First Class;Critical
ES-2013-2860574;2/27/13;03/01/2013;Second Class;High
US-2014-133193;7/31/14;08/01/2014;First Class;Critical
MX-2014-165309;09/05/2014;09/08/2014;First Class;Critical
IN-2011-10286;12/17/11;12/20/11;First Class;Critical
ES-2011-4699764;3/14/11;3/17/11;Second Class;Critical
CA-2013-159016;03/11/2013;03/12/2013;First Class;High
IN-2012-44810;2/25/12;2/25/12;Same Day;Critical
US-2011-128776;12/28/11;12/30/11;Second Class;Critical
ES-2012-5870268;7/17/12;7/19/12;First Class;Critical
CA-2012-139731;10/15/12;10/15/12;Same Day;High
IN-2011-28087;11/03/2011;11/05/2011;Second Class;Critical
CA-2011-168494;12/12/2011;12/14/11;Second Class;High
CG-2011-8610;9/14/11;9/15/11;First Class;High
CA-2011-160766;9/14/11;9/14/11;Same Day;High
US-2014-168116;11/05/2014;11/05/2014;Same Day;High
ES-2014-2637201;1/14/14;1/18/14;Standard Class;High
IN-2011-61302;01/10/2011;01/11/2011;First Class;Medium
ID-2013-63976;8/22/13;8/26/13;Standard Class;High
IN-2014-37320;11/11/2014;11/15/14;Standard Class;High
IN-2014-76016;9/26/14;9/28/14;Second Class;Medium
ES-2012-5877219;12/13/12;12/17/12;Standard Class;High
IT-2011-3183678;9/23/11;9/25/11;First Class;Critical
CA-2011-116904;9/23/11;9/28/11;Standard Class;Medium
IT-2013-3085011;03/08/2013;03/08/2013;Same Day;Critical
IN-2014-50473;8/28/14;8/29/14;First Class;High
IN-2014-35983;05/01/2014;05/01/2014;Same Day;Critical
MX-2014-126984;12/18/14;12/20/14;Second Class;High
US-2012-163825;6/16/12;6/19/12;First Class;High
