Order;Customer;Product;Sales_Value;Quantity_Sold;Shipping_Cost
CA-2012-124891;RH-19495;TEC-AC-10003033;230965;7;933.57
IN-2013-77878;JR-16210;FUR-CH-10003950;3709395;9;923.63
IN-2013-71249;CR-12730;TEC-PH-10004664;5175171;9;915.49
ES-2013-1579342;KM-16375;TEC-PH-10004583;289251;5;910.16
SG-2013-4320;RH-9495;TEC-SHA-10000501;283296;8;903.04
IN-2013-42360;JM-15655;TEC-PH-10000030;2862675;5;897.35
IN-2011-81826;TS-21340;FUR-CH-10004050;182208;4;894.77
IN-2012-86369;MB-18085;FUR-TA-10002958;524484;6;878.38
CA-2014-135909;JW-15220;OFF-BI-10003527;508396;5;867.69
CA-2012-116638;JH-15985;FUR-TA-10000198;4297644;13;865.74
CA-2011-102988;GM-14695;OFF-SU-10002881;416405;5;846.54
ID-2012-28402;AJ-10780;FUR-TA-10001889;462615;5;835.57
SA-2011-1830;MM-7260;TEC-CIS-10001717;261696;4;832.41
MX-2012-130015;VF-21715;FUR-CH-10002033;22218;7;810.25
IN-2013-73951;PF-19120;OFF-AP-10003500;370152;12;804.54
ES-2014-5099955;BP-11185;OFF-AP-10000423;1869588;4;801.66
CA-2014-143567;TB-21175;TEC-AC-10004145;224991;9;780.7
ES-2014-1651774;PJ-18835;OFF-AP-10004512;795858;14;778.32
IN-2014-11763;JS-15685;TEC-CO-10000865;2565594;9;766.93
TZ-2014-8190;RH-9555;OFF-KIT-10004058;340974;6;763.38
PL-2012-7820;AB-600;FUR-HON-10000224;197772;4;759.47
CA-2011-154627;SA-20830;TEC-PH-10001363;2735952;6;752.51
IN-2011-44803;JK-15325;FUR-CH-10000027;2754;6;752.47
ES-2013-2860574;LB-16795;OFF-AP-10003590;52737;10;730.91
US-2014-133193;NP-18325;TEC-PH-10004182;171384;4;728.97
MX-2014-165309;VD-21670;FUR-TA-10002827;2106496;8;728.39
IN-2011-10286;PB-19210;FUR-TA-10004744;171516;2;725.57
ES-2011-4699764;EB-14110;OFF-AP-10004512;3069738;6;725.34
CA-2013-159016;KF-16285;TEC-PH-10002885;4158912;8;714.66
IN-2012-44810;BP-11230;FUR-CH-10001415;187872;4;704.08
US-2011-128776;RR-19525;TEC-PH-10002815;169664;5;704.06
ES-2012-5870268;BS-11365;TEC-MA-10000161;2402865;9;699.55
CA-2012-139731;JE-15745;FUR-CH-10002024;245343;5;690.42
IN-2011-28087;DP-13105;OFF-AP-10004246;252693;5;689.8
CA-2011-168494;NP-18700;FUR-TA-10003473;3610848;12;683.12
CG-2011-8610;AH-30;TEC-APP-10000308;381726;6;678.15
CA-2011-160766;DM-13015;TEC-MA-10003979;279996;4;675.15
US-2014-168116;GT-14635;TEC-MA-10004125;799998;4;674.82
ES-2014-2637201;PO-18865;TEC-CO-10000013;414102;13;668.96
IN-2011-61302;DL-12865;TEC-PH-10004664;2875095;5;665.27
ID-2013-63976;JB-16000;TEC-PH-10000499;32005962;6;660.87
IN-2014-37320;BF-11005;TEC-PH-10003856;451878;7;658.69
IN-2014-76016;VG-21805;FUR-BO-10004852;566787;13;658.35
ES-2012-5877219;GT-14710;TEC-PH-10004583;578502;9;656.73
IT-2011-3183678;ZC-21910;OFF-AP-10000486;3018624;7;655.91
CA-2011-116904;SC-20095;OFF-BI-10001120;944995;5;655.61
IT-2013-3085011;EB-13840;FUR-CH-10003365;20925;5;652.98
IN-2014-50473;AP-10915;FUR-CH-10000602;27612;6;644.75
IN-2014-35983;SW-20275;TEC-MA-10002680;217413;7;637.86
MX-2014-126984;JH-15820;FUR-CH-10000891;347314;11;634.53
US-2012-163825;LC-16885;OFF-BI-10003527;3050376;3;632.05
IR-2014-8540;TG-11640;TEC-CAN-10003392;210864;8;630.97
US-2014-135013;HR-14830;TEC-CO-10001449;239996;5;630.05
IN-2011-10286;PB-19210;FUR-BO-10001372;21975;5;627.27
MZ-2013-3690;DG-3300;TEC-MOT-10002272;258216;4;627.17
IN-2012-66342;SG-20470;TEC-CO-10004997;152652;4;625.77
CA-2012-111829;FH-14365;TEC-CO-10001766;314993;7;617.92
IN-2012-48240;GP-14740;FUR-TA-10000226;174534;2;616.27
IN-2014-61792;MW-18220;OFF-AP-10002244;4191507;9;614.34
CA-2014-129021;PO-18850;TEC-PH-10001459;4367896;13;609.44
IN-2014-75470;CS-12460;FUR-BO-10001073;306327;7;609.24
CA-2012-114811;KD-16495;TEC-MA-10000045;46438;4;607.34
ES-2014-4673578;MS-17980;TEC-PH-10002035;4473;7;604.4
IT-2013-3376681;KC-16675;TEC-PH-10002565;150201;9;600.21
IN-2014-66615;DB-13405;FUR-CH-10000027;5049;11;595.5
CA-2013-143805;JD-15895;OFF-AP-10002945;210455;7;594.02
IT-2014-4540740;DK-13090;FUR-BO-10004999;218805;5;593.91
IN-2014-11231;CS-11845;FUR-TA-10001205;192036;4;592.77
MX-2014-154907;EM-14200;TEC-PH-10004196;1704;4;592.73
UP-2011-8610;DW-3480;FUR-CHR-10001018;185868;4;590.56
IN-2013-40050;AS-10225;FUR-CH-10003232;329826;7;589.36
MX-2011-110275;ST-20530;OFF-AP-10001630;244348;13;589.29
CG-2013-6110;BW-1065;FUR-HAR-10002873;38088;8;588.13
IN-2014-30110;LA-16780;FUR-TA-10000687;34271496;7;586.57
ES-2012-2058076;AB-10150;TEC-PH-10004505;344169;6;585.25
IN-2014-51950;JH-15820;TEC-PH-10002683;286335;5;581.88
CA-2012-145352;CM-12385;OFF-BI-10003527;635495;5;581.12
ES-2013-4670866;BE-11410;TEC-CO-10002269;14874;10;580.98
IN-2011-62506;SZ-20035;TEC-CO-10002526;320004;9;576.71
IN-2011-46413;RM-19375;FUR-CH-10000602;2301;5;573.27
ES-2014-3785216;HG-14845;FUR-CH-10002891;5729346;14;572.95
MO-2014-2000;DP-3105;TEC-CAN-10001437;530124;14;568.45
CA-2014-138289;AR-10540;OFF-BI-10004995;544396;4;567.95
CA-2014-118892;TP-21415;FUR-CH-10002024;4416174;9;566.65
ES-2013-1434123;JB-16000;TEC-PH-10004327;32199;5;564.25
ID-2012-78207;AM-10705;OFF-AP-10001621;24878088;6;562.14
MO-2013-8630;AB-255;OFF-HOO-10001881;226644;4;556.45
IN-2012-64774;RP-19270;TEC-CO-10001954;3068361;9;555.77
IN-2013-48765;BK-11260;FUR-BO-10003282;372843;9;553.31
IN-2013-69730;JM-15250;TEC-CO-10003102;158148;6;550.74
IN-2012-48240;GP-14740;TEC-PH-10004664;191673;3;548.4
US-2013-102239;LW-16990;FUR-TA-10003392;168588;6;548.08
ES-2013-3467296;NZ-18565;OFF-AP-10002552;243216;5;546.9
CA-2014-6550;SV-10815;TEC-MOT-10000554;386388;6;546.56
ID-2013-25742;SC-20695;FUR-CH-10001415;246582;7;546.49
IN-2012-86698;NC-18625;FUR-TA-10003627;184752;2;545.89
ES-2013-2903666;NF-18385;FUR-BO-10001133;289989;7;541.59
IN-2012-30446;NZ-18565;FUR-CH-10000027;28917;7;541.57
IT-2012-1779015;PM-18940;TEC-MA-10003515;2016846;9;540.77
ES-2013-3903130;MZ-17335;OFF-AP-10002904;3155544;7;539.94
CG-2013-3470;HM-4980;TEC-MOT-10003348;385614;6;533.99
IN-2014-13639;RW-19540;TEC-PH-10001990;3524472;6;531.28
ES-2012-2510515;LH-17155;TEC-PH-10002898;2167296;4;531.09
MX-2012-153157;FH-14365;TEC-PH-10004196;2556;6;530.49
ES-2011-2585328;KM-16660;TEC-CO-10001633;146925;5;527.87
ES-2011-4500805;PO-18865;TEC-PH-10002623;4448832;8;527.85
CA-2014-107174;AB-10060;FUR-TA-10004575;203686;7;524.76
MX-2013-113824;AB-10060;FUR-BO-10001498;247266;9;523.47
IN-2013-45076;DB-13060;OFF-AP-10003598;3739176;8;522.79
IT-2013-5208514;VM-21685;FUR-CH-10001582;2570865;11;520.89
US-2013-107440;BS-11365;TEC-MA-10001047;909993;7;516.91
ES-2012-2314672;DM-13525;TEC-PH-10000505;287577;9;516.63
ES-2012-4765389;NM-18520;FUR-BO-10002003;17418;4;515.24
IN-2013-15368;LC-16885;TEC-CO-10001775;160164;5;511.47
IN-2011-18385;RO-19780;OFF-AP-10000647;36708;7;510.72
CA-2012-149846;SB-20185;TEC-MA-10004002;297332;7;510.18
ES-2013-2757712;EM-14065;TEC-CO-10001926;190095;5;506.89
CA-2011-106726;RS-19765;OFF-ST-10001496;126133;7;506.49
IT-2011-1978668;ON-18715;FUR-CH-10002203;45441;11;506.27
IN-2013-63773;VS-21820;FUR-BO-10001934;145512;4;504.56
IN-2013-10965;CM-12115;TEC-CO-10000562;194319;6;499.62
CA-2011-145541;TB-21400;TEC-MA-10001127;699996;4;499.55
CA-2013-117121;AB-10105;OFF-BI-10000545;989274;13;498.7
ID-2013-79432;JK-15325;TEC-CO-10002035;169587;5;498.62
IT-2014-4499061;RP-19270;TEC-CO-10004099;1505979;6;498.52
IN-2014-34226;DW-13540;TEC-PH-10003002;195417;3;498.38
CA-2011-136567;PS-19045;FUR-TA-10001932;224448;7;498.14
CA-2013-143714;CC-12370;TEC-CO-10004722;8399976;4;498.08
CA-2011-151330;TC-21295;FUR-CH-10000749;162882;9;496.46
MX-2014-158386;GM-14440;TEC-CO-10004398;121318876;7;493.41
IN-2013-30663;SV-20815;TEC-CO-10004535;15906;5;493.2
IN-2013-77444;MM-17920;TEC-AC-10000420;233064;9;492.79
IN-2014-39077;JK-16120;FUR-BO-10001212;32785848;8;492.28
ID-2012-60980;EM-14200;TEC-PH-10001670;37415238;7;491.91
CA-2013-128594;DJ-13510;FUR-CH-10001215;1603136;4;489.6
IN-2012-57025;PM-18940;FUR-BO-10004679;3637602;10;487.86
MX-2013-157868;AT-10435;OFF-AP-10001776;245588;7;487.48
ID-2012-66111;AB-10015;TEC-MA-10003704;102468;8;487.32
CA-2011-120474;RP-19390;FUR-CH-10001854;280784;8;487.15
CA-2013-100300;MJ-17740;TEC-MA-10000984;44768;4;485.47
MX-2012-164791;PV-18985;TEC-AC-10000376;229796;14;483.26
IT-2013-1350483;SB-20290;TEC-CO-10003800;267141;7;483.04
SO-2014-4990;SM-10005;TEC-SAM-10004230;3834;6;481.04
CA-2014-149559;KF-16285;FUR-CH-10002320;2054272;8;480.56
IN-2012-30943;KH-16330;OFF-AP-10002312;35017368;8;479.96
IN-2014-13324;MP-18175;TEC-PH-10000169;1725462;3;479.94
IN-2012-46889;LH-17020;TEC-CO-10000865;15837;5;479.67
CA-2012-114069;ND-18370;FUR-CH-10000595;193104;9;477.15
ID-2013-35640;CR-12625;FUR-BO-10000288;2760345;7;475.34
IN-2011-30292;NC-18625;TEC-AC-10000866;307872;12;474.44
IT-2011-3675195;GM-14680;OFF-AP-10001623;1983135;7;473.27
ES-2014-2034971;RA-19945;FUR-BO-10003541;1112778;3;472
ES-2011-1426891;DB-13060;TEC-CO-10004365;36165;10;471.92
CA-2014-159366;BW-11110;TEC-MA-10000822;3059982;2;471.22
IN-2013-14773;RF-19735;TEC-PH-10000499;2892105;5;470.29
ES-2012-4934238;JH-15820;TEC-PH-10000800;32634;5;469.29
CA-2013-108987;AG-10675;FUR-BO-10004834;23962656;4;469.16
MX-2014-111941;DM-12955;FUR-TA-10001642;3117088;13;466.7
US-2013-143819;KD-16270;TEC-MA-10003979;489993;7;466.33
MX-2014-152961;BE-11335;OFF-AP-10001041;18887;5;465.92
IN-2013-17041;SO-20335;OFF-AP-10002090;300078;6;465.63
ES-2013-4679331;DK-12835;OFF-AP-10002330;380163;7;465.02
SA-2014-1270;LC-7050;TEC-CIS-10002344;521112;8;463.98
IN-2011-10286;PB-19210;FUR-TA-10002153;135603;3;458.97
IN-2014-12897;CG-12520;OFF-AP-10004964;3569643;7;458.54
CA-2013-134887;TB-21280;TEC-AC-10003832;128745;5;457.14
ID-2014-10076;HG-15025;FUR-BO-10004679;29100816;8;456.32
ID-2013-70122;AD-10180;FUR-CH-10002061;31264002;9;455.71
ES-2011-2257437;BP-11155;TEC-PH-10002759;5276988;9;454.81
ID-2014-63920;AA-10480;TEC-PH-10001699;2645376;5;452.6
ID-2013-29564;RL-19615;FUR-BO-10001934;163701;5;452.28
CA-2013-108196;CS-12505;TEC-MA-10000418;4499985;5;451.63
